Test Item,Result
"onboard loyal fleet pi = 3.14; captain(){  fleet radius = load(""Enter the radius of the circle: "");   fleet area = pi * radius * radius;    fire(""The area of the circle is: "");  fire(area);  } offboard",Syntax analysis successful
"onboard captain() {  fleet mexicanPeso = load(""Enter the amount in Mexican Peso (MXN): "");  fleet philippinePeso = 0;  fleet exchangeRate = 0.25;    philippinePeso = mexicanPeso * exchangeRate;   fire(philippinePeso);  } offboard",Syntax analysis successful
"onboard captain(){  doffy string1 = load(""Enter first string: "");  doffy string2 = load(""Enter second string: "");  doffy string3 = load(""Enter third string: "");    fire(""Concatenated string: "");  fire(string1 + string2 + string3); } offboard",Syntax analysis successful
"onboard  loyal fleet pi = 3.14; captain(){  fleet radius = load(""Enter the radius of the cylinder base: "");  fleet height = load(""Enter the height of the cylinder: "");    fleet volume = pi * radius * radius * height;    fire(""The volume of the cylinder is: "");  fire(volume); } offboard",Syntax analysis successful
"onboard  captain(){  fleet distance = load(""Enter the distance traveled in kilometers: "");  fleet time = load(""Enter the time taken to travel in hours: "");    fleet speed = distance / time;    fire(""The average speed is: "");  fire(speed); } offboard",Syntax analysis successful
"onboard  captain(){  fleet kilometers = load(""Enter length in kilometers: "");  fleet yard = 0;  yard = kilometers * 1093.61;  fire(kilometers);  fire("" kilometers is "");  fire(yard);  fire("" in yards"");  } offboard",Syntax analysis successful
"onboard  captain(){  pint current_year = 2024;  pint birth_year = load(""Enter your birth year: "");  pint age = 0;  age = current_year - birth_year;  fire(""Your current age is "");  fire(age);  fire("" years old"");  } offboard",Syntax analysis successful
"onboard  captain(){  fleet feet = load(""Enter length in feet: "");  fleet inches = 0;  inches = feet * 12.0;  fire(feet);  fire("" feet is "");  fire(inches);  fire("" in inches"");  } offboard",Syntax analysis successful
"onboard  captain(){  pint num = load(""Enter a number: "");  pint squared = num**2;  fire(""The square of "");  fire(num);   fire("" is "");  fire(squared);  } offboard",Syntax analysis successful
"onboard  captain(){  fleet step = load(""Enter number of steps: "");  fleet cal = 0;  cal = step*0.04;  fire(""Calories burned: "");  fire(cal);  } offboard",Syntax analysis successful
"onboard captain(){  fleet base1 = load(""Enter length of Base 1: "");  fleet base2 = load(""Enter length of Base 2: "");  fleet height = load(""Enter height: "");    fleet area = (0.5 * (base1 + base2)) * height;    fire(""The area of the Trapezoid is: "");  fire(area);  } offboard",Syntax analysis successful
"onboard captain() {  doffy resp = load(""Are you smiling? Y/N: "");    theo(resp == ""Y"" oro resp == ""y"") {  fire(""User is Smiling! "");  }   alt {  fire(""User is not Smiling! :|"");  } } offboard",Syntax analysis successful
"onboard captain() {  doffy resp = load(""Did you feed your Pet?[Y/N]: "");    theo(resp == ""Y"" oro resp == ""y"") {  fire(""Your pet is full! "");  }   alt {  fire(""Danger! Your pet might be hungry!n"");  } } offboard",Syntax analysis successful
"onboard captain() {  doffy address = load(""Hello User! Where do you live?: "");    fire(""The user lives in "");  fire(address); } offboard",Syntax analysis successful
"onboard captain(){  pint num1 = load(""Input 1st Integer: "");  pint num2 = load(""Input 2nd Integer: "");  pint num3 = load(""Input 3rd Integer: "");   fleet ave = (num1 + num2 + num3) / 3;  fire(ave); } offboard",Syntax analysis successful
"onboard captain(){  doffy firstName = load(""Enter your first name: "");  doffy lastName = load(""Enter your last name: "");    fire(""Your initials are: "");  fire(firstName[0]);  fire(lastName[0]); } offboard",Syntax analysis successful
"onboard captain(){  doffy word1 = load(""Enter the 1st word: "");  doffy word2 = load(""Enter the 2nd word: "");  doffy word3 = load(""Enter the 3rd word: "");  doffy word4 = load(""Enter the 4th word: "");    doffy longest = word1;  doffy shortest = word1;    theo(len(word2) > len(longest)){  longest = word2;  }  theo(len(word2) < len(shortest)){  shortest = word2;  }   theo(len(word3) > len(longest)){  longest = word3;  }   theo(len(word3) < len(shortest)){  shortest = word3;  }  theo(len(word4) > len(longest)){  longest = word4;  }  theo(len(word4) < len(shortest)){  shortest = word4;  }   fire(""Longest word: "");  fire(longest);  fire(""\nShortest word: "");  fire(shortest); } offboard",Syntax analysis successful
"onboard captain(){  fleet usd = load(""Input the amount in USD: "");  fleet peso = 58.2;   fleet convert = usd * peso;  fire(convert); } offboard",Syntax analysis successful
"onboard captain(){  fleet pAmount = load(""Input Principal Amount: "");  fleet rInterest = load(""Input Interest Rate: "");  fleet tYear = load(""Input time(in years): "");   fleet sInterest = (pAmount * rInterest * tYear) / 100.0;  fire(sInterest); } offboard",Syntax analysis successful
"onboard captain(){ pint stations = load(""enter stations: ""); pint price=20; theo(stations <= 2){ price = 0; }  alt{ price = price + ((stations - 2)*5); }  fire(""price: ""); fire(price); } offboard",Syntax analysis successful
"onboard captain(){ loyal pint full = 100; pint current = load(""current fuel over 100: ""); theo(current > 100){ fire(""enter a number less than or equal to 100""); } altheo(current/full < 0.15){ fire(""refuel!""); } alt { fire(""no need""); } } offboard",Syntax analysis successful
"onboard captain(){ doffy player1 = load(""[r]ock [p]aper [s]cissor: ""); doffy player2 = load(""[r]ock [p]aper [s]cissor: "");  theo(player1 == ""r"" and player2 == ""s"" oro player1 == ""p"" and player2 == ""r"" oro player1 == ""s"" and player2 == ""p""){ fire(""player 1 wins!""); }  altheo(player2 == ""r"" and player1 == ""s"" oro player2 == ""p"" and player1 == ""r"" oro player2 == ""s"" and player1 == ""p""){ fire(""player 2 wins!""); }  alt { fire(""tie or invalid input""); } } offboard",Syntax analysis successful
"onboard captain(){ pint n = load(""pick a number from 1-5: "");  helm(n){ chest 1: fire(""you selected 1!""); chest 2: fire(""2 is my favorite number!""); chest 3: fire(""3 is the magic number!""); chest 4: fire(""I don't like 4""); chest 5: fire(""last number""); dagger: fire(""i dont think you followed instructions""); } } offboard",Syntax analysis successful
"onboard captain(){ doffy day = load(""Enter day: "");  theo(day == ""Monday"" oro day == ""Tuesday"" oro day == ""Wednesday"" oro day == ""Thursday"" oro day == ""Friday""){ fire(""It is a weekday.""); } alt{ fire(""It is a weekend.""); } } offboard",Syntax analysis successful
"onboard captain(){  pint num1 = load(""Enter first number: "");  pint num2 = load(""Enter second number: "");  pint num3 = load(""Enter third number: "");    theo(num1 == num2 and num2 == num3){  fire(""All values are the same."");  }  alt{  fire(""Values are not the same."");  }  } offboard",Syntax analysis successful
"onboard captain(){  doffy color = load(""Select color Red-Green-Yellow: "");   helm(color){  chest ""Red"":fire(""It means STOP."");  chest ""Green"":fire(""It means GO."");   chest ""Yellow"":fire(""it means Prepare to STOP/GO"");     dagger:fire(""Invalid Input."");    }  } offboard",Syntax analysis successful
"onboard captain(){  pint year = load(""Enter your year: "");    helm(year){  chest 1: fire(""You are Freshman."");  chest 2: fire(""You are Sophomore."");  chest 3: fire(""You are Juniors."");  chest 4: fire(""You are Senior."");    dagger: fire(""Invalid Input"");  } } offboard",Syntax analysis successful
"onboard captain(){  pint num1 = load(""Enter num1: "");  pint num2 = load(""Enter num2: "");  pint num3 = load(""Enter num3: "");   pint largest = 0;    theo(num1 > num2 and num1 > num3){  largest = num1;  fire(largest);  }   altheo(num2 > num3 and num2 > num1){  largest = num2;  fire(largest);  }  alt{  largest = num3;  fire(largest);  }  } offboard",Syntax analysis successful
"onboard   captain() {  pint number = load(""Enter a number: "");  doffy range = """";    theo (number >= 10 and number < 20) {  fire(""You are in range 10's."");   }     altheo (number >= 20 and number < 30) {  fire(""You are in range 20's."");  }     altheo (number >= 30 and number < 40) {  fire(""You are in range 30's."");  }     altheo (number >= 40 and number < 50) {  fire(""You are in range 40's."");  }     altheo (number >= 50 and number < 60) {  fire(""You are in range 50's."");  }     altheo (number >= 60 and number < 70) {  fire(""You are in range 60's."");    }    altheo (number >= 70 and number < 80) {  fire(""You are in range 70's."");  }    altheo (number >= 80 and number < 90) {  fire(""You are in range 80's."");  }     altheo (number >= 90 and number < 100) {  fire(""You are in range 10's."");  }     alt {  fire(""out of range (10s to 90s)"");  }   } offboard",Syntax analysis successful
"onboard captain() {   pint paper = load(""Enter the amount of paper (in inches): "");   pint ink = load(""Enter the amount of ink (in milliliters): "");   theo (ink > 0) {  fire(""You will see the ink on the paper.\n"");  }  alt{  fire(""You will not see the ink on the paper.\n"");  } } offboard",Syntax analysis successful
"onboard captain() {  pint number = load(""Enter a number: "");   theo (number % 5 == 0) {  fire(""It is divisible by 5.\n"");  }  alt {  fire(""It is not divisible by 5.\n"");  }   theo (number % 10 == 0) {  fire(""It is divisible by 10.\n"");  }  alt{  fire(""It is not divisible by 10.\n"");  }   theo(number % 15 == 0) {  fire(""It is divisible by 15.\n"");  }   alt{  fire(""It is not divisible by 15.\n"");  } } offboard",Syntax analysis successful
"onboard captain(){  pint dayNumber = load(""Enter a number representing the day of the week (1-7): "");   theo(dayNumber == 1){  fire(""The day is Sunday."");  }  altheo(dayNumber == 2){  fire(""The day is Monday."");  }  altheo(dayNumber == 3){  fire(""The day is Tuesday."");  }  altheo(dayNumber == 4){  fire(""The day is Wednesday."");  }  altheo(dayNumber == 5){  fire(""The day is Thursday."");  }  altheo(dayNumber == 6){  fire(""The day is Friday."");  }  altheo(dayNumber == 7){  fire(""The day is Saturday."");  }  alt{  fire(""Invalid Input"");  }  } offboard",Syntax analysis successful
"onboard captain(){  pint month = load(""Enter a Month in Numerical(1-12):"");    theo (month >= 3 and month <= 5){  fire(""Spring season."");  }   altheo (month >= 6 and month <= 8){  fire(""Summer season."");  }  altheo (month >= 9 and month <= 11){  fire(""Autumn season."");  }  alt {  fire(""Winter season."");  } } offboard",Syntax analysis successful
"onboard captain(){  pint age = load(""Enter your Age:"");  theo (age >= 18) {  fire(""Eligible to vote."");  }  alt {  fire(""Not eligible to vote."");  } } offboard",Syntax analysis successful
"onboard captain() {  fleet ave = load(""Input grade from 0 to 100: "");  theo (ave <= 100.0) {  theo (ave <= 89.99) {  theo (ave <= 79.99) {  theo (ave <= 69.99) {  theo (ave <= 59.99) {  theo (ave <= 0.0) {  fire(""Invalid Input."");  }  alt {  fire(""F"");  }  }  alt {  fire(""D"");  }  }  alt {  fire(""C"");  }  }  alt {  fire(""B"");  }  }  alt {  fire(""A"");  }  }  alt {  fire(""Invalid Input"");  } } offboard",Syntax analysis successful
"onboard captain(){ fire(""Let's classify a quadrilateral!""); pint parallel = load(""How many parallel pairs? ""); pint right = 0; pint congruent = 0; theo(parallel == 0) { fire(""This quadrilateral is a Trapezium.""); } altheo(parallel == 1) { fire(""This quadrilateral is a Trapezoid.""); } altheo(parallel == 2) { right = load(""Does this parallelogram have right angles? (1 = Yes or 0 = No): ""); theo(right == 0) { congruent = load(""Do all sides have same length? (1 = Yes or 0 = No): ""); theo(congruent == 0) { fire(""This quadrilateral is a Parallelogram.""); } altheo(congruent == 1) { fire(""This quadrilateral is a Rhombus.""); } alt { fire(""Invalid input!""); } } altheo(right == 1) { congruent = load(""Do all sides have same length? (1 = Yes or 0 = No): ""); theo(congruent == 0) { fire(""This quadrilateral is a Square.""); } altheo(congruent == 1) { fire(""This quadrilateral is a Rectangle.""); } alt { fire(""Invalid input!""); } } } alt { fire(""Invalid input!""); } } offboard",Syntax analysis successful
"onboard captain(){ pint angle = load(""Input angle measurement (1-359) in degrees: ""); theo(angle < 360) { theo(angle > 180) { fire(angle); fire("" degrees is a Reflex Angle.""); } altheo(angle == 180) { fire(angle); fire("" degrees is a Straight Angle.""); } altheo(angle < 180) { theo(angle > 90) { fire(angle); fire("" degrees is an Obtuse Angle.""); } altheo(angle == 90) { fire(angle); fire("" degrees is a Right Angle.""); } altheo(angle > 0) { fire(angle); fire("" degree/s is an Acute Angle.""); } alt { fire(""Invalid Input!""); } } alt { fire(""Invalid Input!""); } } alt { fire(""Invalid Input!""); } } offboard",Syntax analysis successful
"onboard captain(){ pint numerator = load(""Input numerator of the fraction (provide the absolute value): ""); pint denominator = 0; denominator = load(""Input denominator of the fraction (must be an integer more than 0): ""); theo(numerator > denominator) { fire(""It is an improper fraction.""); } altheo (numerator == denominator) { fire(""It is a whole fraction.""); } alt { fire(""It is a proper fraction.""); } } offboard",Syntax analysis successful
"onboard captain() { pint score = load(""Enter the exam score: ""); theo(score >= 60) { fire(""Congratulations! You passed the exam.""); } alt { fire(""Sorry, you failed the exam. Better luck next time.""); } } offboard",Syntax analysis successful
"onboard  captain() {  fire(""Choose your sauce!"");  fire(""\n1. Ketchup"");  fire(""\n2. Mayo"");  fire(""\n3. Mustard"");  fire(""\n4. BBQ"");  fire(""\n5. Hot Sauce"");   pint choice = load(""Enter from choices 1-5: "");   helm(choice) {  chest 1: fire(""\n\nYou chose Ketchup!"");   chest 2: fire(""\n\nYou chose Mayo!"");  chest 3: fire(""\n\nYou chose Mustard!"");   chest 4: fire(""\n\nYou chose BBQ!"");   chest 5: fire(""\n\nYou chose Hot Sauce!"");  dagger: fire(""\n\nInvalid Input! You didn't choose correctly!"");  } }  offboard",Syntax analysis successful
"onboard  captain() {  pint age = load(""Enter your age: "");   theo(age >= 18) {  fire(""The user is on LEGAL age!"");  }   alt {  fire(""The user is UNDERAGE!"");  } }  offboard",Syntax analysis successful
