test_item,expected,actual,remarks,detailed error if meron,,
"onboard
         captain() {
                  doffy greet1 = ""Kamsami!"";
                  doffy greet2 = ""Arigathanks!"";
offboard",Syntax Error,,,,,
"onboard
         captain() {
                  doffy greet1 = ""Kamsami!"";
                  doffy greet2 = ""Arigathanks!"";
                  load(""may laman"");
}
offboard
",No Syntax Error,,,,,
"onboard
         captain() {
                  fleet decPointErr = (-5.55);
         }
offboard",Syntax Error,,,,,
"onboard
	captain(){
	loyal doffy name = ""John"";
	}
offboard",No Syntax Error,,,,,
"onboard
	captain(){
	doffy name = ""Luffy"";
	}
offboard",No Syntax Error,,,,,
"onboard
        captain(){
        fire(real or 123);
        }
offboard",Syntax Error,,,,,
"onboard
	captain(){
	doffy name = ""John"";
	fire(`the user’s name is {name}`);
	}
offboard",No Syntax Error,,,,,
"onboard
	captain(){
	doffy name = ""John"";
	fire(""the user’s name is {name}"");
	}
offboard",No Syntax Error,,,,,
"onboard
        captain(){
        pint a = [1,2,3,4,5];
        fire(len(a));
        }
offboard",No Syntax Error,,,,,
"onboard
        captain(){
        doffy name = ""John"";
        fire( len(name) );
        }
offboard",No Syntax Error,,,,,
"onboard
	captain(){
	four (pint i = 0; i < 5; i++) {
	}
	}
offboard",No Syntax Error,,,,,
"onboard
    captain(){
        pint x = 10; 
        theo (x>7 and x<15){
        }
    }
offboard",No Syntax Error,,,,,
"onboard
    captain(){
        pint x = 10; 
        theo (x == 12 oro x == 10 ) {
        }
    }
offboard",No Syntax Error,,,,,
"onboard
    captain(){
        fleet x = 10.5, y = 15.5;
        theo (nay (x == y)) {
        }
        }
offboard",No Syntax Error,,,,,
"onboard
        doffy b = [""Blue:"", ""Red"", ""Green""];
        captain(){
            }
offboard",No Syntax Error,,,,,
"onboard
        captain(){
                doffy b = [""Violet"", ""Pink"", ""Yellow""];
            }
offboard",No Syntax Error,,,,,
"onboard
        doffy b = [""Blue:"", ""Red"", ""Green""];
        captain(){
                doffy b = [""Violet"", ""Pink"", ""Yellow""];
            }
offboard",No Syntax Error,,,,,
"onboard
        captain(){
        pint c = [1, 2, 3];
            }
offboard",No Syntax Error,,,,,
"onboard
        captain(){
        fire(5 + ""Seven"");
            }
offboard",No Syntax Error,,,,,
"onboard
        captain(){
        fire(5 + 7);
            }
offboard",No Syntax Error,,,,,
"onboard
        captain(){
        fire(5<=4);
            }
offboard",Syntax Error,,,,,
"onboard
        captain(){
        fire(7.3);
            }
offboard",No Syntax Error,,,,,
"onboard
        captain(){
        fire(""yow"" + // );
            }
offboard",Syntax Error,,,,,
"onboard
        captain(){
        fire(45 - ++ );
            }
offboard",Syntax Error,,,,,
"onboard
        captain(){
        doffy myName = ""tris"";
        fire(""User's Name: {myName}"");
            }
offboard",No Syntax Error,,,,,
"onboard
        captain(){
        doffy = ""tris"";
        fire(""User's Name: {myName}"");
            }
offboard",Syntax Error,,,,,
"onboard
        captain(){
        myName = ""tris"";
        fire(""User's Name: {myName}"");
            }
offboard",No Syntax Error,,,,,
"onboard
        captain(){
        doffy @+// = ""tris"";
        fire(""User's Name: {myName}"");
            }
offboard",Syntax Error,,,,,
"onboard
        captain(){
        pint num =  28;
        fire(num + 2);
            }
offboard",No Syntax Error,,,,,
"onboard
        captain(){
        pint num = load(""Choose a number from 1-3: "");

        helm(num){
        chest 1: fire(""One""); leak;
        chest 2: fire(""Two""); leak;
        chest 3: fire(""Three""); leak;
        dagger: fire(""Choose a number again..."");
        }
        }
offboard",No Syntax Error,,,,,
"onboard
        captain(){
        pint num = load(""Choose a number from 1-3: "");

        helm(num){
        chest 1: fire(""One""); leak;
        chest 2: fire(""Two""); leak;
        chest 3: fire(""Three""); leak;
        }
        }
offboard",Syntax Error,,,,,
"onboard
        captain(){
        pint num = load(""Choose a number from 1-3: "");

        helm(){
        chest 1: fire(""One""); leak;
        chest 2: fire(""Two""); leak;
        chest 3: fire(""Three""); leak;
        dagger: fire(""Choose a number again..."");
        }
        }
offboard",Syntax Error,,,,,
"onboard
        captain(){
        pint num = load(""Choose a number from 1-3: "");

        helm(num){
        chest : fire(""One""); leak;
        chest : fire(""Two""); leak;
        chest : fire(""Three""); leak;
        dagger: fire(""Choose a number again..."");
        }
        }
offboard",Syntax Error,,,,,
"onboard
        captain(){
        pint time = 42;

        theo (time < 20) {
            fire(""Nahhh"");
        } altheo (time < 30) {
            fire(""Naurrr"");
        } alt {
            fire(""Yeahhh"");
        }
        }
offboard",No Syntax Error,,,,,
"onboard
        captain(){
        pint time = 42;

        altheo (time < 30) {
            fire(""Naurrr"");
        } alt {
            fire(""Yeahhh"");
        }
        }
offboard",Syntax Error,,,,,
"onboard
        captain(){
        pint time = 42;

        alt {
            fire(""Yeahhh"");
        }
        }
offboard",Syntax Error,,,,,
"onboard
        captain(){
        pint time = 42;

        theo (time  20) {
            fire(""Nahhh"");
        } altheo (time  30) {
            fire(""Naurrr"");
        } alt {
            fire(""Yeahhh"");
        }
        }
offboard",Syntax Error,,,,,
"Onboard
  doffy concatenateIntegers() {
    pint num1 = load(""Enter first integer: "");
    pint num2 = load(""Enter second integer: "");
    fire(""Concatenated Integers: "");
    fire(num1);
    fire(num2);
  }

  captain() {
    concatenateIntegers();
  }
Offboard",Syntax Error,,,,,
"onboard

     captain() {
           concatIntegers();
     }

doffy concatIntegers() {
    pint num1 = load(""Enter first integer: "");
    pint num2 = load(""Enter second integer: "");
    fire(""Concatenated Integers: "");
    fire(num1);
    fire(num2);
  }
offboard",Syntax Error,,,,,
"onboard
	captain(){
	}
offboard",No Syntax Error,,,,,
"onboard
	captain(){
	pint Chest1 = 10; 
	}
offboard",No Syntax Error,,,,,
"onboard
	pint Chest1 = 11; 
	captain(){ 
	}
offboard",No Syntax Error,,,,,
"onboard
	fleet pi = 3.14;
	captain(){
	}
offboard",No Syntax Error,,,,,
"onboard
	captain(){
	fleet cylinder = 12.56;
	}
offboard",No Syntax Error,,,,,
"onboard
	doffy silver = ""Ag"";
	captain(){
	}
offboard",No Syntax Error,,,,,
"onboard
	captain(){
	doffy gold = ""AU"";
	}
offboard",No Syntax Error,,,,,
"onboard
	bull cow = real;
	captain(){
	}
offboard",No Syntax Error,,,,,
"onboard
	captain(){
	bull sheep = usopp;
	}
offboard",No Syntax Error,,,,,
"onboard
	captain(){
	bull horse = real <> usopp;
	}
offboard",Syntax Error,,,,,
"onboard
	captain(){
	loyal pint taylor = 21;
	}
offboard",No Syntax Error,,,,,
"onboard
	loyal pint swift = 22;
	captain(){
	}
offboard",No Syntax Error,,,,,
"onboard
	loyal doffy rihanna = ""Royal""
	captain(){
	}
offboard",Syntax Error,,,,,
"onboard
        loyal doffy rihanna = ""Royal"";
        captain(){
        }
offboard",No Syntax Error,,,,,
"onboard
	captain(){
	loyal doffy rihanna = ""Diamond"";
	}
offboard",No Syntax Error,,,,,
"onboard
        captain(){
        loyal fleet pi = 3.14159265;
        }
offboard",Syntax Error,,,,,
"onboard
	captain(){
	loyal fleet pi = 3.1415;
	}
offboard",No Syntax Error,,,,,
"onboard
	loyal fleet pi = 3.14159
	captain(){
	}
offboard
",Syntax Error,,,,,
"onboard
        loyal bull bteam = real;
        captain(){
        }
offboard",No Syntax Error,,,,,
"onboard
	captain(){
	loyal bull vbteam = ""usopp"";
	}
offboard",No Syntax Error,,,,,
"onboard
	captain(){
	loyal bull vbteam = ""usopp`;
	}
offboard",Syntax Error,,,,,
"onboard
	captain(){
	loyal doffy rihanna = `Umbrella`;
	}
offboard",No Syntax Error,,,,,
"onboard
	captain(){
	loyal doffy rihanna = S&M;
	}
offboard",Syntax Error,,,,,
"onboard
	loyal doffy rihanna = ""RudeBoy`;
	captain(){
	}
offboard",Syntax Error,,,,,
"onboard
	loyal
	captain(){
	}
offboard",Syntax Error,,,,,
"onboard
	loyal captain(){
	}
offboard
",Syntax Error,,,,,
"onboard
        captain() {
                four(pint x = 0; x < 5; x++) {
                        fire(x+1);
                }
        }
offboard",No Syntax Error,,,,,
"onboard
        captain() {
                pint x = 0;
                whale(x > 1) {
                        fire(""Hello"");
                }
        }
offboard",No Syntax Error,,,,,
"onboard
        captain() {
                x = 10;
                whale(pint x > 1) {
                        fire(""Hello"");
                        x--;
                }
        }
offboard",Syntax Error,,,,,
"onboard 
        captain() {
                four(pint x; x != 5; ++x){ #<statement>; }
        }
offboard",Syntax Error,,,,,
"onboard
        captain() {
                theo(real) {
                        fire(""True"");
                }
        }
offboard",No Syntax Error,,,,,
"onboard
        captain() {
                doffy alphabets = [[a, b, c, d, e, f, g]]];
        }
offboard",Syntax Error,,,,,
"onboard
        captain() {
                load(fire(""Insert values"" ));
        }
offboard",Syntax Error,,,,,
"onboard 
        captain() {
                fire(dont_try_this + 6667);
        }
offboard",No Syntax Error,,,,,
"onboard
        captain() {
                pint fire = 2; 
        }
offboard",Syntax Error,,,,,
"onboard 
        captain() {
                pint %money = 5.55%;
        }
offboard",Syntax Error,,,,,
"onboard
        captain() {
                fleet decNum = 6.66; 
                four (pint x = 1; x < decNum; x++) {
                }
        }
offboard",No Syntax Error,,,,,
"onboard 
        captain() {
                doffy stringCatcher(doffy str) {
                        doffy x = str;
                        home(bool flag = real;);
                }",Syntax Error,,,,,
"onboard
        captain() {
                fleet decNum = 6.66; 
                four (pint x = 1; x < decNum; x++) {
                }
        }
offboard",No Syntax Error,,,,,
"onboard 
        captain() {
                pint wrongVarType = ""Enter Anything: "";
                load(wrongVarType);
        }
offboard",No Syntax Error,,,,,
"onboard
        pint main(doffy str) {
                home(0);
        }

        captain() {
        }
offboard",No Syntax Error,,,,,
"onboard 
        captain() {
                fire(""Don't forget to close!!"");
offboard",Syntax Error,,,,,
"onboard
        captain() {
                fire(""You don't like semicolons, do you?);
        };
offboard",Syntax Error,,,,,
"onboard
        captain() {
                pint selected = 0;

                helm(selected) {
                        chest 0: fire(""None Selected""); leak;
                        chest 1: fire(""Item selected""); leak;
                        dagger: fire(""Error!""); 
                }
        }
offboard",No Syntax Error,,,,,
"onboard
        captain () {
                doffy str = ""Don't forget to break"";
                
                helm(real) {
                        chest 1: fire(""1"");
                        chest 2: fire(""2"");
                        dagger: fire(""Dagger is required"");
                }
        }
offboard",Syntax Error,,,,,
"onboard
        captain() {
                doffy count_me = [""1"", ""5"", ""3"", ""55""];
                fire(len(count_me));
        }
offboard",No Syntax Error,,,,,
"onboard
        captain () {
                fire(fire(fire(fire(fire())));
        }
offboard",Syntax Error,,,,,
"onboard 
        captain() {
                doffy str !== ""5""5```5"""";   
        }
offboard",Syntax Error,,,,,
"onboard
        captain() {
                pint errorNum = five, ten, fifteen, one;
        }
offboard",Syntax Error,,,,,
"onboard
        captain() {
                pint intNum = 5; 
                pint notIntNum != ""!1111```66""++;
        }
offboard",Syntax Error,,,,,
"onboard
        captain() {
                onboard
                offboard
        }
offboard",Syntax Error,,,,,
"onboard 
        captain() {
                captain();
                captain();
                captain();
        }
offboard",Syntax Error,,,,,
"onboard 
        captain() {}
                captain();
                captain();
                captain();
offboard",Syntax Error,,,,,
"onboard
        captain {
                fire(""You might forgot something?"");
        }
offboard",Syntax Error,,,,,
"onboard
        captaiin() {
                fire('''haha, good luck debugging m3""''`);
        }};
oofboard",Syntax Error,,,,,
"onboard
        captain() {
                fire(""I love python!"")
                        fire(""you surely love python"")
        }
offboard",Syntax Error,,,,,
"onboard
        captain() {
                fire(""I love python!"")
                        fire(""you surely love python"");
        }
offboard",Syntax Error,,,,,
"onboard
        captain() {
                fire(""I love python!"");
                        fire(""you surely love python"");
        }
offboard",No Syntax Error,,,,,
"onboard
        captain() {
                doffy name = ""Ponkie"";
                pint age = 2;
                fire(name + "" loves python so much, 
                even he's only "" + doffy(age);
        }
offboard",Syntax Error,,,,,
"onboard
        captain() {
                theo(real) {
                        fire(""It's real!"");   
                } alt { fire(""It's not real); }
offboard",Syntax Error,,,,,
"onboard
         captain(){
                   pint num = 10;

                  theo (num > 0) {
                          fire(""Positive"");
                 }altheo (num ==0){
                         fire(""Zero"")
                 }alt{
                        fire(""Negative""):
                 }
offboard",Syntax Error,,,,,
"onboard
        captain(){
                  pint num = 7;
                  theo (num % 2 == 0) {
                       fire(""Even"");
                  }alt{
                       fire(""Odd"");
                  }
}
offboard",No Syntax Error,,,,,
"onboard
        captain(){
                 pint num = 10, num2 = 20, num3 = 15

                 theo ((num1 >= num2) and (num1 >= num3)) {
                         fire(`Largest number: {num}`);
                 }altheo ((num2 >= num1) and (num2 >= num3)){
                         fire(`Largest number: {num2}`);
                 }alt{
                        fire(`Largest number: {num3}`);
                 }
offboard",Syntax Error,,,,,
"onboard 
         captain(){ 
                  pint year = 2024;

                  altheo ((year % 4 == 0 and year % 100 != 0) or (year % 400 == 0)) { 
                      fire(""Leap Year""); 
                  }alt{ 
                       fire(""Not a Leap Year"");
                       }
offboard",Syntax Error,,,,,
"onboard 
          captain(){ 
                   pint a = 3, b = 4. c = 5;

                   theo (a == b and b == c) { 
                        fire(""Equilateral triangle""); 
                   }altheo (a == b oro b == c oro c == a){ 
                        fire(""Isosceles Triangle""); 
                   }alt{ fire(""Scalene Triangle""); 
                   } 
offboard",Syntax Error,,,,,
"onboard 
          captain(){ 
                   pint year = 2000;
                   theo (year % 100 == 0) { 
                        fire(""Century Year""); 
                   }alt{ 
                        fire(""Not a century year""); 
                   } 
}
offboard",No Syntax Error,,,,,
"onboard 
          captain(){ 
                   pint num = 12;

                   theo ((num % 2 == 0) and (num % 3 == 0)) { 
                        fire(""Divisible by both 2 and 3); 
                   }alt{ 
                        fire(""Not divisible by both 2 and 3""); 
                   } 
offboard",Syntax Error,,,,,
"onboard 
          captain(){ 
                   pint num = 6;

                   theo ((num != 0) and (num & (num - 1))) == 0 [ 
                        fire(""Power of two""); 
                   }alt{ 
                       fire(""Not a power of two""); 
                   } 
offboard",Syntax Error,,,,,
"onboard 
          captain(){ 
                   pint num = 6; pint num2 = 15;

                   theo (num1 > num2) {
                        fire(`Greater Number: {num}`); 
                   }alt{ 
                       fire(`Greater Number: {num2}`); 
                   } 
	}
offboard",No Syntax Error,,,,,
"onboard 
          captain(){ 
                   pint num = 9;

                   theo (num % 3 ==0;) {
                        fire(""Divisible by 3""); 
                  
offboard",Syntax Error,,,,,
"onboard 
          captain(){ 
                   pint a = 17;
                   theo (10) < num < (20) {
                        fire(""Number is between 10 and 20""); 
		}		         
offboard",Syntax Error,,,,,
"onboard
        captain() {
                theo(Usoppl) {
                        fire(""False"");
                }
        }
offboard",Syntax Error,,,,,
"onboard 
         captain(){ 
                  pint age = 20;
                  theo (age >= 18) { 
                      fire(""You are eligible to vote""); 
                  }alt{ 
                       fire(""Not eligible to vote"");
                       }
	}
offboard",No Syntax Error,,,,,
"onboard 
         captain(){ 
                  pint age = 65;

                  theo (age >= 60) { 
                      fire(""You are senior citizen""); 
                  }alt{ 
                       fire(""Not a senior citizen"");
                       }
	}
offboard",No Syntax Error,,,,,
"onboard 
         captain(){ 
                  doffy color = ""Red"";

                  theo (color == ""red`) { 
                      fire(""The color is Red""); 
                  }alt{ 
                       fire(""Not a color red"");
                       }
offboard",Syntax Error,,,,,
"onboard 
         captain(){ 
               helm(day){
   chest 1:  fire(”Monday”) ; leak;
   chest 2:  fire(”Tuesday”) ; leak;
   chest 3:  fire(”Wednesday”) ; leak;
   chest 4:  fire(”Thursday”); leak;
   chest 5:  fire(“Friday”); leak;
   chest 6:  fire(”Saturday”); leak;
   chest 7:  fire(“Sunday”);
  
 dagger:  fire(”Not a day”);
   
offboard",Syntax Error,,,,,
"onboard 
         captain(){ 
               helm(day)[]
   chest 1:  fire(”Monday”) ; leak;
   chest 2:  fire(”Tuesday”) ; leak;
   chest 3:  fire(”Wednesday”) ; leak;
  
 dagger:  fire(”Not a day”);
   
offboard",Syntax Error,,,,,
"onboard 
         captain(){ 

    chest 1:  fire(”Monday”) ; leak;
   chest 2:  fire(”Tuesday”) ; leak;
   chest 3:  fire(”Wednesday”) ; leak;
    helm(day){}
   
  
 dagger:  fire(”Not a day”);
   
offboard",Syntax Error,,,,,
"onboard 
       captain()
       fleet a = fire(pint a);
offboard",Syntax Error,,,,,
"onboard 
         captain(){ 
         pint num = 2 fleet b = 13.4 doffy c = ""ace""l

offboard",Syntax Error,,,,,
"onboard 
         captain(){ 
         pint num = 2 fleet b = 13.4 doffy c = ""ace""

offboard",Syntax Error,,,,,
"onboard 
         captain(){ 
        four (pint i = 0; i < 5; i+++) {

}

offboard",Syntax Error,,,,,
"onboard
          captain(){
                 pint x = 10, y = 15;
                 theo (nay (x == y)) {
                    fire(""True"");
}
}
offboard",No Syntax Error,,,,,
"onboard
          captain(){
                 pint c = [1, 2. ""3:];
}
offboard",Syntax Error,,,,,
"onboard
        captain() {
            pint x = 10;
            pint y = 5;
            pint result = x + y;  
        }
offboard",No Syntax Error,,,,,
"onboard
        captain() {
            pint x = 10;
            pint y = 5;
            pint result;  
        }
offboard",Syntax Error,,,,,
"onboard
captain() {
    pint attempts = 0;
    whale (attempts < 3) {  
        pint attempts = attempts + 1;
        fire(attempts);  
    }
}
offboard",No Syntax Error,,,,,
"onboard
captain() {
    whale (attempts < 3) {  
        four attempts = attempts + 1;
        fire(attempts);  
    }
}
offboard",Syntax Error,,,,,
"onboard
captain() {
    pint x = 5;
    pint y = 8;
    theo (x < y) {  
        fire(""x is less than y"");  
    } alt {
        fire(""x is greater than or equal to y""); 
    }
}
offboard",No Syntax Error,,,,,
"onboard
captain() {
    pint x = 5;
    pint y = 8;
    theo (x < y) {  
        fire(""x is less than y"");  
	}
}
offboard",No Syntax Error,,,,,
"onboard
captain() {
    pint x = 10;
    pint y = 20;
    pint z = x * y;  
    fire(z);  
}
offboard
",No Syntax Error,,,,,
"onboard
captain() {
    pint x = 10;
    pint y = 20;
    pint z = x * y;  
    fire(""The product of x and y is: "" + z);  
}
offboard",No Syntax Error,,,,,
"onboard
captain() {
    pint count = 0;
    pint count2 = 3;
    whale (count < 5) {  
	pint count = pint count + pint count2;
        fire(""Loop iteration: "" , pint count); 
    }
}
offboard",Syntax Error,,,,,
"onboard
captain() {
    pint temperature = 25;
    theo (temperature > 30) {  
        fire(""It's hot outside!"");  
    } alt {
        fire(""It's a pleasant day."");  
    }
}
offboard",No Syntax Error,,,,,
"onboard
captain() {
    pint radius = 5;
    loyal double area = 3.14 * radius * radius;  
    fire(""The area of the circle is: "" + area);  
}
offboard",Syntax Error,,,,,
"onboard
captain() {
    loyal pint pi = 3.14;
    pint radius = 5;
    pint area = radius * pi;  
    fire(area);  
}
offboard",No Syntax Error,,,,,
"onboard
captain() {
    pint a = 10;
    pint b = 20;
    theo (a==10){
	fire(""a is10"");
	}
}
offboard",No Syntax Error,,,,,
